,date,aqi,pollutant_id
159,2011-04-30,6.420238095238095,
160,2011-05-31,12.74943783068783,
161,2011-06-30,15.84375,
162,2011-07-31,20.4955223880597,
163,2011-08-31,20.599971888396936,
164,2011-09-30,20.51388888888889,
165,2011-10-31,13.241666666666667,
166,2011-11-30,10.266666666666667,
167,2011-12-31,12.383333333333333,
168,2012-01-31,9.052083333333334,
169,2012-02-29,12.365079365079366,
170,2012-03-31,10.299242424242424,
171,2012-04-30,11.293055555555556,
172,2012-05-31,12.49236111111111,
173,2012-06-30,17.3462962962963,
174,2012-07-31,39.208333333333336,
175,2012-08-31,26.07495256166983,
176,2012-09-30,29.62553418803419,
177,2012-10-31,10.892156862745097,
178,2012-11-30,8.733333333333333,
179,2012-12-31,10.809259259259258,
180,2013-01-31,10.133632019115892,
